order_id,customer_id,product,category,price,quantity,order_date,payment_method,estado
O0001,C001,Cepillo de Dientes de Bambú,higiene,8500,2,2025-01-10,Tarjeta de Crédito,recibido
O0002,C002,Tarjeta Regalo $50,tarjetas de regalo,50000,1,2025-01-11,Tarjeta de Débito,recibido
O0003,C003,Botella Reutilizable Acero Grabada,personalizado,45000,1,2025-01-12,PayPal,recibido
O0004,C004,Jabón Artesanal Aloe Vera,higiene,6500,3,2025-01-13,Efectivo,recibido
O0005,C005,Software Gestión Huella Carbono,software,180000,1,2025-01-14,PayPal,recibido
O0006,C006,Notebook Papel Reciclado,papelería ecológica,18000,2,2025-10-25,Efectivo,recibido
O0007,C007,Bolsas Reutilizables Algodón,hogar sostenible,12000,4,2025-01-16,Efectivo,recibido
O0008,C008,Maceta Biodegradable,jardinería,9500,5,2025-01-17,Tarjeta de Débito,devuelto
O0009,C009,Cuaderno Personalizado con Nombre,personalizado,25000,1,2025-01-18,Efectivo,recibido
O0010,C010,Zapatillas Fibra Natural,moda sostenible,68000,1,2025-01-19,Tarjeta de Crédito,recibido
O0011,C011,Camiseta Algodón Orgánico,moda sostenible,32000,2,2025-01-20,Efectivo,recibido
O0012,C012,Copa Menstrual Silicona,higiene,45000,1,2025-01-21,PayPal,recibido
O0013,C013,Vela Cera de Soja,decoración,16000,3,2025-01-22,PayPal,recibido
O0014,C014,Pañales Reutilizables Set,bebé ecológico,95000,1,2025-01-23,Tarjeta de Crédito,recibido
O0015,C015,Panel Solar Portátil,energía renovable,320000,1,2025-01-24,Efectivo,enviado
O0016,C016,Reloj Madera Grabado Personalizado,personalizado,145000,1,2025-01-25,PayPal,recibido
O0017,C017,Sandalias Cuero Vegano,moda sostenible,58000,1,2025-01-26,Tarjeta de Débito,recibido
O0018,C018,Tarjeta Regalo $100,tarjetas de regalo,100000,1,2025-01-27,PayPal,recibido
O0019,C019,Champú Sólido Lavanda,higiene,15000,2,2025-01-28,Tarjeta de Débito,recibido
O0020,C020,Compostador Doméstico,jardinería,85000,1,2025-01-29,PayPal,recibido
O0021,C021,Software Calculadora Carbono Premium,software,350000,1,2025-01-30,Tarjeta de Crédito,recibido
O0022,C022,Mochila Lona Reciclada,accesorios,72000,1,2025-01-31,PayPal,recibido
O0023,C023,Semillas Orgánicas Mix,jardinería,12000,3,2025-02-01,Efectivo,enviado
O0024,C024,Vaso Térmico Bambú Personalizado,personalizado,38000,1,2025-02-02,Tarjeta de Crédito,recibido
O0025,C025,Pasta Dental Natural,higiene,9500,2,2025-02-03,Tarjeta de Débito,recibido
O0026,C026,Lámpara LED Solar,iluminación,55000,2,2025-02-04,PayPal,recibido
O0027,C027,Tarjeta Regalo $25,tarjetas de regalo,25000,2,2025-02-05,Efectivo,recibido
O0028,C028,Alfombra Yute Natural,decoración,125000,1,2025-02-06,Tarjeta de Crédito,enviado
O0029,C029,Kit Huerto Urbano,jardinería,48000,1,2025-02-07,PayPal,recibido
O0030,C030,Desodorante Sólido Natural,higiene,13500,3,2025-02-08,Tarjeta de Débito,recibido
